,X1,Y
0,0,3.7784778908102155
1,1,8.715574823764646
2,2,12.2492643632396
3,3,14.826820327816371
4,4,19.12328599712359
5,5,23.76493264468339
6,6,27.29762596268519
7,7,33.125565328373284
8,8,34.157473775822304
9,9,36.73730878693646
10,10,41.86752182352603
11,11,47.54887461979005
12,12,51.077407902218006
13,13,54.40669023311524
14,14,60.48017223770301
15,15,64.64678424937217
16,16,66.09802781422158
17,17,71.26700346006933
18,18,74.24120969379639
19,19,78.73817780487225
20,20,82.96222540026402
21,21,87.04091233794388
22,22,91.47950139440736
23,23,96.76019050517384
24,24,100.13134269589564
25,25,101.9486949449127
26,26,107.05953053013896
27,27,110.97080995149805
28,28,114.326056260666
29,29,120.62513823264666
30,30,122.93464634034744
31,31,126.51761016625186
32,32,130.0804245779538
33,33,134.53057881066343
34,34,138.9116256083568
35,35,140.6143264519161
36,36,146.92094410944443
37,37,151.47901382590064
38,38,155.16751997227635
39,39,158.14588022050683
40,40,165.4910687490176
41,41,166.6735159434976
42,42,170.3024056712844
43,43,175.84566808208524
44,44,178.60408090470278
45,45,184.79009067278503
46,46,186.42980022846584
47,47,190.92691075492297
48,48,195.75158565167104
49,49,199.2304327522709
50,50,204.7479201635076
51,51,208.04375642826966
52,52,211.63923900985975
53,53,213.64468759564465
54,54,220.25855549878665
55,55,220.49645442634852
56,56,226.69136158232595
57,57,231.51841409399574
58,58,236.19030591915114
59,59,238.11550471671242
60,60,243.02019470161363
61,61,246.527537202163
62,62,250.3197033842155
63,63,255.7909068363849
64,64,260.66153188130943
65,65,263.75537706672515
66,66,266.43314623859
67,67,271.60454722295714
68,68,275.11859339654666
69,69,277.9217130268427
70,70,284.5556681842547
71,71,285.6416284004199
72,72,290.8426600858428
73,73,295.4622032589527
74,74,298.75641555927916
75,75,301.9376788685878
76,76,306.5762946917767
77,77,310.1441222734576
78,78,314.6663099237314
79,79,318.39134901314355
80,80,321.86084266374183
81,81,327.24998696431663
82,82,330.1157728847325
83,83,335.61697026239113
84,84,339.5480875106833
85,85,341.9328979082774
86,86,345.21760361805656
87,87,351.8331240464514
88,88,355.6485897684382
89,89,358.75439315280386
90,90,362.40083743526725
91,91,366.7056410241161
92,92,370.01557710310004
93,93,374.4890797045876
94,94,380.2452203153333
95,95,383.1188038120149
96,96,387.0476511328016
97,97,390.4669183895928
98,98,395.9603484693197
99,99,398.79232210692595
100,100,403.06241388979254
101,101,406.65908678970146
102,102,413.198603967103
103,103,416.3811983891003
104,104,419.03123694149104
105,105,421.71576197686295
106,106,427.7619845807639
107,107,432.7409923897341
108,108,436.60214957449443
109,109,440.13247752384
110,110,443.6271150547907
111,111,446.994523489389
112,112,451.41300460366017
113,113,455.1630231552681
114,114,458.6509153540173
115,115,464.74297722431146
116,116,466.9711404825436
117,117,471.18193751165916
118,118,473.8922556642261
119,119,479.3572532888761
120,120,484.12760363509676
121,121,487.9943563629457
122,122,491.75977525886225
123,123,495.3569408571495
124,124,498.1847947210634
125,125,501.7398981317532
126,126,506.95424174944657
127,127,511.894842130184
128,128,512.6141571961598
129,129,518.3915731222984
130,130,522.7903101330896
131,131,526.421444248676
132,132,530.0197516595829
133,133,534.1794298950839
134,134,538.8398114062318
135,135,543.877329837308
136,136,546.6810315494018
137,137,550.3090826344512
138,138,555.0355157388518
139,139,558.3481655643002
140,140,562.7354871453874
141,141,565.9286544924588
142,142,573.3274163824485
143,143,575.3134721823677
144,144,577.437599267577
145,145,583.7272926750375
146,146,587.9124962898909
147,147,590.3143653242158
148,148,596.1005971512793
149,149,598.7375139685515
150,150,603.750688416429
151,151,605.1637414484765
152,152,610.1076131671306
153,153,613.6963209189909
154,154,619.4160063447555
155,155,622.4520635315399
156,156,625.9742675460893
157,157,633.2655448769051
158,158,635.3065156080825
159,159,636.5131959397618
160,160,642.7262789563194
161,161,646.0418199696124
162,162,649.2149496353777
163,163,655.7667753159853
164,164,658.9804153223648
165,165,662.2953064599666
166,166,665.8496241774153
167,167,670.5028421093131
168,168,676.1726513329297
169,169,679.5949236972679
170,170,682.4708252578579
171,171,686.9030115970764
172,172,690.2042519775429
173,173,696.6660791055403
174,174,698.2434460226386
175,175,702.3315383167292
176,176,707.328674485094
177,177,710.6772032043266
178,178,714.357633490407
179,179,717.9629183918616
180,180,721.2986767937111
181,181,727.0789763734076
182,182,731.9065733451589
183,183,734.2224615991433
184,184,737.6321653273667
185,185,743.057097105487
186,186,748.6052938841167
187,187,750.5860349921471
188,188,756.403131759301
189,189,760.1600047598702
190,190,763.5783954783279
191,191,768.8692903027445
192,192,771.3906327208339
193,193,775.1609366917901
194,194,779.7600556754232
195,195,782.7242930378458
196,196,787.7480184131767
197,197,792.0423368280768
198,198,793.5325503741707
199,199,799.0233653791051
200,200,801.2758924873018
201,201,807.6854086097812
202,202,809.1578427458335
203,203,814.7273972454685
204,204,818.9049731120624
205,205,823.2822304727198
206,206,826.7830960339713
207,207,831.2121780336622
208,208,834.3329105519554
209,209,838.270155091209
210,210,845.4360958771506
211,211,846.0567457770996
212,212,851.9730757588105
213,213,853.538721452792
214,214,858.8299970747385
215,215,863.4582460855056
216,216,867.13091660944
217,217,870.9397286105892
218,218,877.62552676617
219,219,878.3434680643649
220,220,883.2599788668455
221,221,887.1393841166857
222,222,889.976747742261
